username,userid,profile_location,created_at,text,retweet_count,source,coordinates
john,983187860,by the sea,2023-01-19 22:48:08,"@IsabelOakeshott You should be ashamed of yourself.

More people in the UK have died with COVID in the last 2 month… https://t.co/NbIzwbPYC5",0,Twitter for Android,
Paul Burleigh,2282453594,"Bellevue, WA",2023-01-19 22:45:15,@AlexBerenson Go to your pharmacy.  How much cough syrup is in stock?? I’d be curious because by me it’s extremely… https://t.co/s1UVri2kud,0,Twitter for iPhone,
UW Environmental & Occupational Health Sciences,71286165,"Seattle, Washington",2023-01-19 22:38:57,A new @theNASEM report coauthored by DEOHS Prof. Scott Meschke recommends a national system to survey wastewater fo… https://t.co/o98K5CljAg,2,Twitter Web App,
Oren Cox,746380864041295873,"Seattle, WA",2023-01-19 22:29:58,The funniest thing donated to us in my first month here was this guy who donated a bunch of anti covid maga literat… https://t.co/3EQHXOZOdG,0,Twitter for Android,
Samb White,217236832,Seattle,2023-01-19 22:27:00,trumpet the work and progress they were making on qPCR testing/sequencing of COVID-19 during the peak of the pandem… https://t.co/CTrP6WGHMh,0,Twitter Web App,
D. D.,216407950,"Seattle, WA",2023-01-19 22:23:11,"@MattJam48563579 @ShenanVirgen @oregon_report @FBI Me to Matt, I took for granted that most of these people were de… https://t.co/AXvC1bfaiD",0,Twitter for iPhone,
Taylor Bear,15624157,"Seattle, Wa",2023-01-19 22:17:30,@SteveSandmeyer @colinokeefe Being scared doesn't mean she was in danger. A shelter in place order also doesn't mea… https://t.co/mOOJBZFEko,0,Twitter Web App,
"Kevin McKenzie, M.Sc.",1137583496539492353,"Seattle, WA",2023-01-19 22:12:21,@geraldwlaney @MannelloStephen @DrEliDavid I’ve been critical of much of the gov’s CoViD response. The messaging ha… https://t.co/vtiVPTEHu6,0,Twitter for iPhone,
Adam Weiler,1212143291921092608,"Seattle, WA",2023-01-19 22:08:59,"Stuck in a hotel in Denver with COVID. Going stir crazy

Drop your Amazon listing ⬇️ and I'll give you 3 things to… https://t.co/XXipRyaTen",0,Twitter Web App,
At Random,781027889894621184,"Seattle, WA",2023-01-19 22:08:01,@eriik0093 @WhiteHouse After an incredible hiring boom in tech. Microsoft was definitely bloated. Tech is still a g… https://t.co/kB0wNFSoeb,0,Twitter for Android,
Highland - yeti,479682409,The Highlands ,2023-01-19 22:04:27,Former PM....not that exceptional....ruined her country with covid fascism https://t.co/Nk4mVdZEps,0,Twitter Web App,
Partnership4Learning,63227080,"Seattle, WA",2023-01-19 22:01:54,@HighlineSchools used federal COVID relief funds to expand 1:1 afterschool tutoring for students who need extra sup… https://t.co/un4A78V1tx,0,Hootsuite Inc.,
DSP calls gays hateful slurs,1442944774495952896,"Renton, WA",2023-01-19 21:56:58,@Poems_Future My company was doing “well” and lay off plenty of people pre Covid and post Covid,0,Twitter for iPhone,
"Kevin McKenzie, M.Sc.",1137583496539492353,"Seattle, WA",2023-01-19 21:54:03,@geraldwlaney @MannelloStephen @DrEliDavid I earned my degrees in microbiology &amp; immunology and became a public hea… https://t.co/Ocy00NDB9f,0,Twitter for iPhone,
Altleftto,1305215402364907520,Around Seattle,2023-01-19 21:48:11,"@WeaselArmy @IntelDoge @DoodlesTrks I guess with spending it's not so much who did it, but the reason. COVID spendi… https://t.co/Ko3etkEdBM",0,Twitter Web App,
Tom Biro,814256,"Seattle, WA",2023-01-19 21:38:49,"@ericriveracooks my favorite is still a chef on capitol hill telling me ""well, my staff has either had covid alread… https://t.co/5LgRXAd5W0",0,Twitter Web App,
Kaiser Permanente WA,25168788,"Renton, WA",2023-01-19 21:38:11,"Is your family sick with COVID-19, flu, or RSV? Dr. Michael Alston, pediatrician at Tacoma Medical Center, shares w… https://t.co/B62V5r4Fyo",0,Twitter Web App,
🌆Albejorn 🦊 θ∆ 🔜ANW & FC!!,806380576475414528,"Seattle, WA",2023-01-19 21:32:20,"@SaigonTheKomodo Got the details on the severance package, and I'm going to be OK... I think. Still running numbers… https://t.co/BlviZuStsQ",0,Twitter Web App,
Maxime Sutters,30778075,"Seattle, WA",2023-01-19 21:32:16,@villagerssn @Debunk_the_Funk Anyone who knows what multiplication is has the foundation to understand the article.… https://t.co/QSOet9jcWx,0,Twitter Web App,
https://mastodon.social/@KatyPearce,93782410,"Seattle, Washington",2023-01-19 21:30:49,"Now I looked at COVID misinfo and FB messenger, Telegram, WhatsApp are all there as very significant predictors. Yi… https://t.co/JsnrCov9P0",0,Twitter Web App,
Jordan 🌹,32495716,"Seattle, Washington, USA",2023-01-19 21:29:55,@luckytran A lot of high risk people have dropped precautions and reintegrated fully because they are fed false inf… https://t.co/ANKkr2XqcQ,0,Twitter for iPhone,
Dave O - writer of wrongs #cautioncontainsopinions,1110958393458462720,"Seattle, WA",2023-01-19 21:21:35,@theirishking @seattlejohn @cyndihaltom52 @AzPetrich When did Covid end? I’ve a mate who works at VM and it’s still… https://t.co/bFoG863rLD,0,Twitter for iPhone,
john,983187860,by the sea,2023-01-19 21:07:09,"@PhilMyers53 ""He's not going to use nuclear weapons"" says man who was shaking hands on a COVID ward 🤡",0,Twitter for Android,
JibrilR,912351330630430720,"Edmonds, WA",2023-01-19 21:02:08,@BrandiKruse @GovInslee I was vaccinated because I work in healthcare. But I still caught Covid after my son went b… https://t.co/T4EGf5CWe0,0,Twitter for iPhone,
KC,43055622,"Bothell, WA",2023-01-19 21:01:32,@XFLSeaDragons Last event I went to before COVID hit. https://t.co/DwIKVnqAzP,0,Twitter for iPhone,
